店名,店舗電話番号,住所,営業時間,定休日,アクセス,入口幅が80cm以上である,入口の移動経路は平坦または段差が2cm以下である,店舗内の椅子は移動可能である,店舗内は車椅子での移動が可能である,テーブル下にスペースがある（高さ65cm×幅70cm×奥行45cm程度）,店舗内または同じフロア内にトイレがある,車椅子使用者対応トイレがある（施設内の他フロアを含む）またはオストメイトがある,写真メニューがある,英語等外国語のメニューがある,点字表記のメニューがある,筆談によるコミュニケーションがある,手話のできるスタッフがいる,事前申請によるアレルギー対応が可能,事前申請によるベジタリアンまたはヴィーガン対応が可能,事前申請によるハラール対応が可能,店舗URL
シーフードレストラン メヒコ 浅草店,03-3843-6052,東京都台東区浅草1-39-5 澤田屋ビル 1F,平日ランチ 11:00~15:00(LO14:30)ディナー17:00~23:00(LO22:00)土・日・祝11:00~23:00(LO22:00)※土・日・祝はランチメニューなし,月曜日,つくばエクスプレス「浅草」徒歩3分、東武線「浅草」徒歩3分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,,,http://mehico.com/shop/other6.html
磯丸水産 浅草新仲見世通り店,03-5806-5817,東京都台東区浅草1-23-7 社本ビル 1・2F,土以外12:00~21:30(LO21:00)土12:00~2:00(LO1:30),定休日無し,地下鉄「浅草」 徒歩5分、東武線「浅草」徒歩5分、つくばエクスプレス「浅草」徒歩1分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://isomaru.jp/1449/
焼肉 牛壱心 浅草EKIMISE店,03-6231-6839,東京都台東区花川戸1-4-1 浅草EKIMISE 7F,ランチ11:00~15:00(LO15:00)ディナー15:00~22:00(LO21:30),施設に準ずる,地下鉄「浅草」徒歩2分、東武線「浅草」直結,〇,,〇,〇,,〇,〇,〇,〇,,〇,,〇,〇,〇,https://www.hotpepper.jp/strJ001278731/
洋食 66DINING 六本木六丁目食堂 浅草EKIMISE店,03-5826-6625,東京都台東区花川戸1-4-1 浅草EKIMISE 7F,ランチ11:00~16:00ディナー16:00~22:00(LO21:00),施設に準ずる,地下鉄「浅草」徒歩1分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,〇,https://www.chimney.co.jp/66dining/66dining_asakusa.html
築地すし鮮 浅草雷門店,03-5830-1020,東京都台東区雷門2-16-9 Hulic&New 雷門 1F,11:00~5:00(LO4:30)ランチ11:00~15:00,定休日無し,地下鉄・東武線「浅草」徒歩5分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://g420329.gorp.jp/
Fleur de Sarrasin フルールドサラザン,03-6876-1851,東京都台東区西浅草2-14-2 インパレス1 1F,ランチ11:45~15:00(LO14:00)ディナー17:45~23:00(LO22:00),不定休,つくばエクスプレス「浅草」徒歩1分、地下鉄「田原町」徒歩5分、地下鉄「浅草」徒歩8分,,,〇,〇,〇,〇,,,〇,,〇,,〇,〇,〇,http://www.fleurdesarrasin.tokyo/
Le Marais（マレ）,03-5829-8533,東京都台東区浅草橋1-25-12 Famビル 1F,火~土11:30~23:00(LO22:00)日・祝11:00~22:00(LO21:00),月曜日,JR「浅草橋」徒歩2分、地下鉄「浅草橋」徒歩5分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,,,https://www.marais.jp/
atelier de cafe table,03-5839-2440,東京都台東区浅草橋1-27-9 アパホテル浅草橋駅前 1F,モーニング7:00~10:00(LO9:30)ランチ11:00~17:00(LO16:30),日・祝,JR・地下鉄「浅草橋」徒歩3分　,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,,,,https://de-table.com/
珈琲家,090-5779-6460,東京都墨田区東向島2-13-7,平日6:00~17:00日・祝8:00~17:00,木曜日,東武線「曳舟」徒歩1分,〇,,〇,〇,〇,〇,〇,,,,〇,,〇,〇,〇,https://tabelog.com/tokyo/A1312/A131203/13148740/」
三代目網元 魚鮮水産 本所吾妻橋店,03-5819-0202,東京都墨田区吾妻橋2-1-5 ケンマブチ吾妻橋ビル 1F,平日ランチ11:30~14:00ディナー16:00~23:00(LO22:30)土・日11:30~23:00(LO22:30),年末年始,地下鉄「本所吾妻橋」徒歩2分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,,,,https://www.hotpepper.jp/strJ003388919/
オイスターマーケット 牡蠣市場 とうきょうスカイツリー駅前店,03-5637-8844,東京都墨田区業平2-19-4 業平ハイツ 1F,平日12:00~14:30(LO14:00)17:00~21:00(LO20:00) 土・日・祝12:00~21:00(LO20:00),不定休,地下鉄「押上」徒歩3分、東武線「とうきょうスカイツリー」徒歩3分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://r.gnavi.co.jp/8he8k5zu0000/
cafe kohana,03-3626-0221,東京都墨田区横川3-11-14 マツマルビル 1F,モーニング月~木8:00~11:30金・土・日・祝9:00~11:30ランチ11:30~15:00ディナー月~金~19:30(LO19:00)土・日・祝~18:00(LO17:30),不定休,地下鉄「押上」徒歩7分,〇,,〇,〇,〇,〇,,,〇,,〇,,〇,〇,〇,https://www.facebook.com/CafeKohana/?locale-ja_JP
厚焼きホットケーキのお店 ねこづき,03-6456-1392,東京都墨田区太平3-14-2 ミヤグチハウス 1F,火・水・木・土・日・祝11:00~17:00(LO16:00),月・金・他不定休あり,JR・地下鉄「錦糸町」徒歩7分,,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://www.instagram.com/nekozuki2019/
カプリチョーザ オリナス錦糸町,"	03-6658-8805",東京都墨田区太平4-1-2 オリナス錦糸町 4F,11:00~22:00(LO21:30）,施設に準ずる,地下鉄「錦糸町」徒歩3分、JR「錦糸町」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://capricciosa.com/location/%e3%82%aa%e3%83%aa%e3%83%8a%e3%82%b9%e9%8c%a6%e7%b3%b8%e7%94%ba%e5%ba%97/
花の舞 江戸東京博物館前店,03-5619-4488,東京都墨田区亀沢1-1-15,ランチ11:30~15:00(LO14:30)ディナー16:00~23:00(LO22:30),定休日無し,JR「両国」徒歩5分、地下鉄「両国」徒歩2分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://izakaya-hananomai.com/hakubutukan-mae/
九州人情酒場 魚星 錦糸町駅南口店,03-6659-2303,東京都墨田区江東橋3-8-7 錦糸町駅前プラザビル 4F,月~木16:00~23:00(LO22:30)金・祝前日16:00~5:00(LO4:30)土12:00~5:00(LO4:30)日・祝日12:00~23:00(LO22:30),定休日無し,地下鉄「錦糸町」徒歩約2分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://kyushu-uosei.com/kinshicho/
現場喫茶,03-6657-0911,東京都墨田区押上1-45-1,9:00~18:00(LO17:30),月・火,地下鉄「押上」徒歩5分、東武線「とうきょうスカイツリー」徒歩8分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://genbacafe.tokyo/
Series the Sky,03-6658-8444,東京都墨田区押上1-1-2 東京ソラマチ31F,ランチ11:00~15:00(LO14:00)ディナー17:00~23:00(LO21:00) ,施設に準ずる,東武線「とうきょうスカイツリー」直結、地下鉄・京成線「押上」直結,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,,,https://series-the-sky.com/
美蔵 ホテルルートイン東京東陽町店,050-5576-8113,東京都江東区東陽2-3-12 ホテルルートインGrand東京東陽町 1F,17:00~23:00(LO22:30)※日・祝のみ~22:00(LO21:30),定休日無し,地下鉄「東陽町」徒歩3分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://www.hotpepper.jp/strJ000659066/
ポポラマーマ 門前仲町店,03-3820-4417,東京都江東区富岡1-7-6 富岡Yビル 1F,11:00~22:00 ※年末年始は時短営業あり,定休日無し,地下鉄「門前仲町」徒歩1分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,〇,,,https://www.popolamama.com/index.php
タイ屋台居酒屋 ヤムヤム,03-6458-5455,東京都江東区富岡1-7-5,11:00~14:00 17:00~23:00,定休日無し,地下鉄「門前仲町」徒歩2分,〇,〇,〇,〇,,,,〇,〇,,〇,,,,,https://www.istagram.com/monnaka_yamyam/
東天紅 深川店,03-3641-0125,東京都江東区門前仲町2-10-1 赤札堂深川ビル 5F,平日ランチ11:30~15:00(LO14:00)ディナー17:00~21:00(LO20:00)土・日・祝11:30~21:00(LO20:00),不定休(月2回程度),地下鉄「門前仲町」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://www.totenko.co.jp/restaurant/fukagawa/
炭火焼肉 猿楽 豊洲店,03-5859-0572,東京都江東区豊洲2-2-1 ららぽーと豊洲3 1F,11:00~22:00 (LO21:00),施設に準ずる,地下鉄「豊洲」徒歩3分、ゆりかもめ「豊洲」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,https://www.yakiniku[sanitize]sarugaku.com/
中国火鍋専門店 小肥羊 豊洲店,03-5859-0341,東京都江東区豊洲2-2-1 豊洲ベイサイドクロス 1F,11:00~22:30(LO21:30)※金・土・日・祝のみ~23:00(LO22:00),施設に準ずる,地下鉄「豊洲」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://xfy.co.jp/
博多食彩 表邸 ららぽーと豊洲店,03-6910-1559,東京都江東区豊洲2-4-9 ららぽーと豊洲 3F,ランチ11:00~16:00ディナー16:00~22:00(LO21:00),施設に準ずる,地下鉄「豊洲」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,https://bentendotoyosu.gorp.jp/
@東京グリルハーバー,03-6910-1433,東京都江東区豊洲2-4-9 ららぽーと豊洲 3F,ランチ11:00~16:30(LO16:30)ディナー17:00~22:00(LO21:00),施設に準ずる,地下鉄「豊洲」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://kiwa-group.co.jp/tokyogrillharbour/
さかな道楽 亀戸店,03-3681-4418,東京都江東区亀戸2-20-7 亀戸会館 3F,11:00~2:00(LO1:00),定休日無し,JR・東武線「亀戸」徒歩1分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://g420308.gorp.jp/
大衆食堂 安べゑ 亀戸駅前店,03-5628-5519,東京都江東区亀戸5-1-1 JR構内,11:00~23:00(LO22:00）,定休日無し,JR「亀戸」徒歩1分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://taisyu-yasube.com/kameido/
Mobile Care＆お茶Cafe,03-6807-9873,東京都荒川区町屋3-20-17,11:30~20:30,月・木・日・年末年始・お盆休み,地下鉄・京成線「町屋」徒歩5分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,,,,https://www.mobile-care.jp/
TOKYO L.O.C.A.L BASE,03-6807-7748,東京都荒川区町屋1-3-12,月~木ランチ11:00~18:00(LO17:30)金11:00~23:00(LO22:00)土10:00~23:00(LO22:00) 日・祝10:00~22:00(LO21:00) ,定休日無し,地下鉄・京成線「町屋」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,〇,〇,〇,https://tokyolocal.me/
あいるとんかふぇ,03-3801-9008, 東京都荒川区南千住7-2-15 高橋ビル 1F,7:30~19:30(LO19:00),月曜日,JR・地下鉄「南千住」徒歩2分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://s.tabelog.com/tokyo/A1324/A132401/13134845/
natural cafe こひきや,03-6807-7512,東京都荒川区東尾久5-20-15,11:30~14:30(LO14:00)※土のみ~17:00(LO16:00),日・月・祝,日暮里舎人ライナー「赤土小学校前」「熊野前」徒歩5分,,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,http://kohikiya.tokyo/
居酒屋 酔助,03-4362-9833,東京都荒川区西日暮里2-19-7 日暮里駅前東忠ビル 2F,平日15:00~23:30(LO23:00)土・日・祝12:00~23:30(LO23:00),不定休,JR「日暮里」から徒歩1分,,,,,,〇,,〇,,,〇,,〇,〇,〇,https://www.hotpepper.jp/strJ003324718/
cafe mogii＋,03-5604-5129,東京都荒川区東日暮里5-1-1,11:30~18:00(LO17:00),月・日・祝,JR「日暮里」徒歩8分、JR「三河島」徒歩7分、JR「鶯谷」徒歩8分,,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://www.instagram.com/cafe_mogii.plus/
両国だしもんじゃ もんじ 北千住東口店,03-5284-9878,東京都足立区千住旭町40-27 ビックリヤ旭町ビル 3F,平日16:00~23:30(LO22:30)土・日・祝12:00~23:30(LO22:30),定休日無し,JR「北千住」徒歩2分,〇,,,〇,,〇,,〇,〇,,〇,,〇,〇,〇,https://chimney-brand.com/monji-kitasenjyu/
暁雲亭 北千住マルイ店,03-6806-1318,東京都足立区千住3-92 北千住マルイ 9F,11:00~22:00(LO21:00),施設に準ずる,JR・地下鉄「北千住」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://kiwa-group.co.jp/gyountei_kitasenju/
李大錘 ビッグハンマー,03-5851-8090,東京都足立区竹の塚3-16-10 THE VALUE SHARED HOTEL TAKENOTSUKA,11:00~23:00(LO22:30),定休日無し,東武線「竹ノ塚」徒歩8分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://tabelog.com/tokyo/A1324/A132404/13278741/
Cafe Hot'n,090-4430-3500,東京都足立区竹の塚1-30-16 竹市第一ビル 1F,9:00~17:00(LO16:30),日曜日,東武線「竹ノ塚」徒歩3分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,〇,,,https://tabelog.com/tokyo/A1324/A132404/13233864/
おとだま,03-3856-0905,東京都足立区西竹の塚2-2-3 1F,9:00~16:00ランチ11:30~14:00,月・日,東武線「竹ノ塚」徒歩1分,〇,,〇,〇,,〇,,〇,,,〇,,,〇,〇,https://tabelog.com/tokyo/A1324/A132404/13248836/
カフェ ガーデン,03-3694-9022,東京都葛飾区立石6-18-2,10:00~18:00(LO17:30)ランチ11:00~16:00,月・日・祝,京成線「京成立石」「青砥」徒歩6分,〇,〇,〇,〇,〇,〇,,,,,〇,,〇,〇,〇,https://tabelog.com/tokyo/A1324/A132403/13046048/
ジョナサン 水元店,03-5876-2510,東京都葛飾区東水元2-9-5,モーニング7:00~10:30平日ランチ10:30~17:00(LO17:00)ディナー17:00~24:00(LO23:00)※モーニング全日、ランチ平日のみで休日はグランドメニュー,定休日無し,JR「金町」徒歩15分、バス停「しばられ地蔵」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://store-info.skylark.co.jp/jonathan/map/020509
居酒屋ゆうゆう,03-5699-6599,東京都葛飾区高砂5-30-11 コーポ吉野,ランチ11:30~14:00(LO13:30) ※日曜休み ディナー17:00~27:00(LO26:00)※日曜は22時まで(LO21:00）,定休日無し(ランチは日曜休み),京成線「京成高砂」徒歩1分,〇,〇,〇,〇,〇,〇,,,,,〇,,〇,〇,〇,http://yu-yu.website/
喫茶 白十字,03-3600-6583,東京都葛飾区高砂5-29-13 白十字ビル 1F,8:20~19:00水のみ8:00~19:00,日曜日,京成線「京成高砂」徒歩0分,〇,〇,〇,〇,〇,〇,,,,,〇,,〇,〇,〇,https://tabelog.com/tokyo/A1324/A132403/13076480/
三三九度,03-3838-3210,東京都葛飾区青戸3-39-10,ランチ11:30~15:00(LO14:30)ディナー15:00~23:00(LO22:00),水曜日,京成線「青砥」徒歩1分,,〇,〇,〇,〇,〇,,,〇,,〇,,〇,〇,〇,https://sansankudo.net/
five loaves caf? ファイブローブスカフェ 小岩店,03-3657-2205,東京都江戸川区北小岩2-11-7 佐藤ビル 1F,10:30~19:00(LO18:30),日曜日,京成線「京成小岩」徒歩3分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,,,https://five-loaves-cafe.business.site/
キッチン ハノハノ,03-6638-8454,東京都江戸川区篠崎町5-6-2,ランチ水・木・土・日11:30~14:30(LO14:00)ディナー水・木・金・土・日17:30~22:00(LO21:00）,月・火,地下鉄「篠崎」徒歩5分,〇,〇,〇,〇,〇,〇,,,,,〇,,,,,https://hanohano-edogawa.com/
PARKLIFE CAFE & RESTAURANT,03-6808-0070,東京都江戸川区臨海町6-2-1,10:00~17:00(LO16:30),年末年始,JR「葛西臨海公園」徒歩7分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://parklifecafe.zetton.co.jp/
CRYSTAL CAFE,03-6878-1327,東京都江戸川区臨海町6-2-1,3月~11月10:00~17:00(LO16:30)12月~2月11:00~16:00(LO15:30),水曜日(12月~2月の間のみ),JR「葛西臨海公園」徒歩7分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://crystalcafe.zetton.co.jp/
こだわりやま 天王洲アイル店,03-5769-0788,東京都品川区東品川2-2-20 天王洲オーシャンスクエア 1F,ランチ11:30~14:00(LO13:30)ディナー17:00~23:00(LO20:00),土・日・祝,東京モノレール・りんかい線「天王洲アイル」徒歩5分,〇,,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://www.chimney.co.jp/restaurant/detail/?id-152
さかな酒場 魚星 阪急大井町ガーデン店,03-5709-7786,東京都品川区大井1-50-5 阪急大井町ガーデン 2F,11:00~23:00(LO22:00),定休日無し,JR「大井町」徒歩2分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://sakana-uosei.com/hankyuoimachi/
デルソーレSHOP グリルハーベスター大崎店,03-5422-8731,東京都品川区北品川5-5-15 大崎ブライトコア 1F,ランチ11:00~15:00(LO14:30)ディナー17:00~21:00(LO20:00),不定休,JR「大崎」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://grill-harvester.com/
アロハテーブル 大崎,03-6277-2564,東京都品川区北品川5-5-15 大崎ブライトコア 1F,平日11:30~15:00(LO14:15)土・日・祝11:00~22:00(LO21:00),施設に準ずる,JR「大崎」徒歩5分、JR「五反田」徒歩13分,〇,,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,https://alohatable-osaki.business.site/
一番どり ゲートシティ大崎店,03-5437-5994,東京都品川区大崎1-11-1 ゲートシティ大崎ウェストタワー 2F,ランチ11:30~14:00(LO14:00)ディナー17:00~23:00(LO22:00),土・日・祝,JR「大崎」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,https://a449103.gorp.jp/
鮨割烹 ともえ,03-3782-2274,東京都品川区小山2-6-18 マートルコート武蔵小山 1F,ランチ11:45~14:00(LO14:00)ディナー17:30~21:00(LO20:30),水曜日,東急線「武蔵小山」徒歩3分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,,https://tabelog.com/tokyo/A1317/A131710/13072382/
どすこい酒場 玉海力 武蔵小山店,03-3785-6501,東京都品川区小山3-23-10,17:00~22:00,不定休,東急線「武蔵小山」徒歩5分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,〇,,,https://musashikoyama-tamakairiki.com/
SOLO NOI sul nuje（ソロ ノイ スルヌジェ）,03-6421-2875,東京都目黒区中根1-7-3 オフィス都立大学ビル 1F,ランチ11:30~15:00(LO14:00)※土・日・祝のみLO14:30ディナー17:00~22:00(LO21:00)※金・土・祝前日のみLO21:30,火曜日,東急線「都立大学」徒歩1分,〇,,〇,〇,〇,〇,,,〇,,〇,,〇,〇,,https://instagram.com/solonoi_sulnuje?igshid-OGQ5ZDc2ODk2ZA--
News Cafe,03-3725-6450,東京都目黒区自由が丘2-9-11 八幸ビル 4F,月~土12:00~20:00(LO19:00)日・祝12:00~19:00(LO18:00)　,火・水,東急線「自由が丘」徒歩5分,,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,〇,,https://www.instagram.com/newscafetokyo/?hl-ja
マークマツオカグリル 中目黒,03-6451-2922,東京都目黒区上目黒1-16-12 鈴房ビル 1F,ランチ11:00~16:00(LO15:00)ディナー16:00~22:00(LO21:00）,年末年始・不定休,地下鉄・東急線「中目黒」徒歩5分,〇,,〇,〇,〇,〇,,,〇,,〇,,〇,〇,〇,https://www.markmatsuoka.tokyo/nakameguro/
BACIONE バッチョーネ,03-3791-2334,東京都目黒区上目黒1-16-2 鹿コーポラス 1F,ランチ12:00~14:00ディナ18:00~22:00(LO21:00)ショップ12:00~20:30,月曜日（月が祝日の場合は翌日火曜日休み）,地下鉄・東急線「中目黒」徒歩3分,〇,,〇,〇,〇,〇,,,〇,,〇,,〇,〇,〇,https://bacione.owst.jp/
鳥焼肉と自然派ワイン Cotori,03-6412-7428,東京都目黒区祐天寺2-10-3 casagridio101,月~土17:00~24:00(LO23:00)日・祝16:00~23:00(LO22:00) ,木・不定休,東急線「祐天寺駅」徒歩2分,〇,〇,〇,〇,〇,〇,,,,,〇,,,,〇,https://cotori.tokyo/
Onda Tokyo,03-5734-1987,東京都目黒区中目黒1-8-12 サクラハウス 1B,ランチ12:00~15:00(LO13:00)ディナー18:00~23:00(LO20:00),日曜日,地下鉄・東急線「中目黒」徒歩6分,,,〇,〇,〇,〇,,,,,〇,,,,,https://www.onda.tokyo/
串かつ・鮮魚・酒 ひらたや,03-6404-6866,東京都大田区大森北6-27-1 サンコー商事ビル 1F,11:30~3:00(LO2:30),定休日無し,京急線「平和島」徒歩1分,〇,〇,〇,〇,〇,〇,,,,,〇,,〇,,〇,https://hirataya-inc.com/
野菜とイタリアンダイニング・カフェ グリシアル,03-3745-6073,東京都大田区西糀谷4-31-16 1F,ランチ11:30~15:00(LO14:30)ディナー17:30~22:00(LO21:00),水曜日(月・火はランチのみ),京急線「糀谷」徒歩3分、京急線「京急蒲田」徒歩9分,,〇,〇,〇,〇,〇,〇,〇,,,〇,,,,,https://www.grecial.jp/?
銀座木屋 羽田空港店,03-6428-9200,東京都大田区羽田空港3-4-2 第2ターミナル 3F,6:00~21:00(LO20:30),定休日無し,京急線「羽田空港第1・第2ターミナル」徒歩10分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://tokyo-haneda.com/shop_and_dine/detail/tenant_00190.html
多津美,03-3731-3216,東京都大田区西蒲田7-48-8,11:30~14:30 (LO14:00),日曜日,JR・東急線「蒲田」徒歩2分,〇,〇,〇,〇,〇,〇,,,,,〇,,,,,https://tabelog.com/tokyo/A1315/A131503/13017744/
ノラベーカリー,03-6459-7037,東京都大田区田園調布1-55-10,火・木・金9:00~19:00(LO18:00)水9:00~17:00(LO16:00)土・日・祝9:00~18:00(LO17:00),月・不定休,東急線「多摩川」徒歩3分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,〇,,,https://norabakery.com/
カフェ ルシェロ,03-5755-5397,東京都大田区田園調布1-53-12,モーニング8:30~11:30(LO11:00)ランチ11:30~14:00(LO13:30)カフェ8:30~18:00(LO17:00),第2木曜日,東急線「多摩川」徒歩1分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,,,https://instagram.com/seseragicafe?igshid-OGQ5ZDc2ODk2ZA--
Mr.FARMER 駒沢公園店,03-5432-7062,東京都世田谷区駒沢公園1-1-2,7:00~21:00(LO20:00),定休日無し,東急線「駒沢大学」徒歩15分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,,https://mr-farmer.jp/1648/
織部 下北沢店,03-5432-9068,東京都世田谷区北沢2-2-3 1F,11:00~19:00(LO18:30),定休日無し,小田急線・京王線「下北沢」徒歩4分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,,,https://oribe-shimokita.tumblr.com/
フラマンドール 下高井戸店,03-3323-9955,東京都世田谷区松原3-29-17 京王線下高井戸駅改札前,月~土7:00~21:00(LO20:00)(モーニング7:00~10:00)日・祝8:00~20:00(LO19:00)(モーニング8:00~10:00)イートインは全日19:00まで(LO18:00),定休日無し,京王線「下高井戸」改札前,〇,〇,〇,〇,,,,〇,,,〇,,〇,〇,〇,https://www.saint-germain.co.jp/brand/froment/
タントタント成城コルティ店,03-5490-7881,東京都世田谷区成城6-5-34 成城コルティ 4F,ランチ11:00~15:30(15:00)ディナー17:00~22:00(LO21:00),施設に準ずる,小田急線「成城学園前」直結,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,,,https://tanto-tanto.com/1657/
Asian Cafe & Diner Vivid Ajia,03-6411-7258,東京都世田谷区玉川3-20-8 サントピア玉川 1F,10:00~22:00(LO21:00),定休日無し,東急線「二子玉川」徒歩5分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://www.hotpepper.jp/strJ001224602/
クロシェットカフェ,03-5343-5088,東京都中野区中野4-3-1 サンクオーレ 1F,10:00~19:30(LO19:00),土曜日,JR「中野」徒歩5分、西武線「新井薬師前」徒歩15分、西武線「沼袋」徒歩15分,〇,〇,〇,〇,〇,,〇,〇,,,〇,,〇,〇,,https://www.clochette-cafe.com/
Space＆Cafe ポレポレ坐,03-3227-1445,東京都中野区東中野4-4-1 ポレポレ坐ビル 1F,11:00~20:30(LO20:00),第2・4火曜日,JR・地下鉄「東中野」徒歩2分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,〇,〇,〇,https://pole2za.com/
葵禅カフェ&バー,03-6753-5858,東京都中野区東中野4-15-2,11:00~22:00(LO21:30),月曜日,地下鉄「落合」徒歩1分、JR「中野」徒歩6分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,〇,〇,〇,https://www.kizencafe.com/
カフェ アンリ・ファーブル,03-3223-7330,東京都杉並区高円寺北2-1-2 座・高円寺 2F,11:30~19:00(LO18:30),年末年始,JR「高円寺」徒歩5分,〇,〇,〇,〇,〇,,〇,〇,,,〇,,〇,〇,,https://www.instagram.com/cafe_henri_fabre_koenji/
JULES VERNE COFFEE,03-5356-9810,東京都 杉並区高円寺北4-2-24 アールリエット高円寺A106,12:00~17:00,月・火,JR「高円寺」 徒歩8分、JR「阿佐ヶ谷」徒歩9分,〇,,〇,〇,〇,〇,,,,,〇,,,,,http://r.goope.jp/camino-coffee/
J-COFFEE 高円寺,03-5377-3333,東京都杉並区高円寺南5-33-7,8:30~17:30(LO17:00),土・日・祝,JR「高円寺」徒歩7分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,,,,https://www.instagram.com/jcoffee2020/
まちのパーラー,03-6312-1333,東京都練馬区小竹町2-40-4 1F,8:30~22:00(LO21:00) 月は18:00まで,火曜日,地下鉄・西武線「小竹向原」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,〇,,,https://www.facebook.com/profile.php?id-100063568959033
みんなのカフェ すまいる・VIVIFY,03-6310-3034,東京都練馬区石神井町3-2-8 レイクサイド石神井公園 A102,平日11:00~17:00(LO16:30)土・日・祝12:00~17:30(LO17:00),定休日無し,西武線「石神井公園」徒歩8分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://smile-vivify.com/
元町珈琲 石神井公園の離れ,03-3997-0078,東京都練馬区石神井町7-1-2,7:00~21:00(LO20:00）,定休日無し,西武線「石神井公園」徒歩1分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,〇,,,https://motomachi-coffee.jp/concept/
VIEW & KITCHEN QUAD17,070-9030-3172,東京都北区王子1-11-1 北とぴあ 17F,10:00~21:30(17:00~21:30は予約のみ),不定休,JR「王子」徒歩2分、地下鉄「王子」 5番出口直結,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,,https://www.quad17.com/
伊豆の漁師バル おためし屋,03-6807-7553,東京都北区東田端1-13-9 ツインビル田端B棟 1F,ランチ11:30~14:30(LO14:00)※月~金のみ  ディナー17:00~22:30(LO22:00）,日・祝・第2・4月曜日,JR「田端」徒歩3分,〇,,〇,〇,〇,〇,,〇,,,〇,,〇,〇,〇,https://uejimagroup.com/otameshiya/
